ID,State FIPS code,Date,All merchant category codes spending,Accommodation and food service (ACF) spending,"Arts, entertainment, and recreation (AER)  spending",General merchandise stores (GEN) and apparel and accessories (AAP) spending,Grocery and food store (GRF)  spending,Health care and social assistance (HCS) spending ,Transportation and warehousing (TWS)  spending,"Retail spending, including grocery  (AAP, CEC, GEN, GRF, HIC, ETC, SGH) ","Retail spending, excluding grocery ((AAP, CEC, GEN, HIC, ETC, SGH) "
3400-823,3400,6/25/2020,0.394,-26.8,-25.2,11.7,21.6,-10.5,-57.1,25,28.3
3600-824,3600,6/25/2020,-4.91,-33.6,-48.4,-0.837,19.3,-16.5,-59.3,17.7,16.4
4400-825,4400,6/25/2020,-3.84,-44.6,-21.5,1.52,17.5,-13.7,-25.1,23.6,30.3
900-826,900,6/26/2020,-14.9,-40.8,-42.9,-5.94,16.1,-25.3,-70.8,8.11,3.25
2500-827,2500,6/26/2020,-5.71,-31.8,-34.2,6.31,15.7,-9.17,-70.9,18.1,20.3
3400-828,3400,6/26/2020,-0.571,-26.2,-28,10.6,19.6,-10.9,-57.6,23.1,26.4
3600-829,3600,6/26/2020,-7.2,-34.5,-48.1,-1.58,15,-15.6,-60.7,14.7,14.5
4400-830,4400,6/26/2020,-17.2,-42.3,-46.4,-9.61,17,-7.61,-13.8,15.4,13.4
900-831,900,6/27/2020,-15.4,-42.1,-40,-6.42,9.23,-21.9,-69.8,6.36,4.55
2500-832,2500,6/27/2020,-6.41,-30.9,-32.7,5.87,10.9,-4.39,-69.6,13.7,16.3
3400-833,3400,6/27/2020,-2.15,-26.9,-29.9,9.91,14.4,-12.2,-56.9,19.2,23.6
3600-834,3600,6/27/2020,-8.48,-34.3,-49.9,-1.81,9.29,-14.4,-60.3,10.8,12
4400-835,4400,6/27/2020,-16.5,-41.5,-45.2,-6.56,8.57,-1.53,-30.1,11.3,13.8
900-836,900,6/28/2020,-15,-42.5,-35.8,-7.91,8.13,-18.4,-70.1,5.24,3.41
2500-837,2500,6/28/2020,-7.1,-32.3,-33.6,7.85,8.79,-8.2,-67.9,12.1,15.1
3400-838,3400,6/28/2020,-3.24,-28.5,-31.4,10.5,13,-12.8,-56.5,18.9,24.5
3600-839,3600,6/28/2020,-8.83,-34.5,-50.6,-1.15,7.41,-14.8,-60.3,10.1,12.3
4400-840,4400,6/28/2020,-20.2,-42.6,-49.7,-8.34,1.13,4.56,-33.4,5.24,9.11
900-841,900,6/29/2020,-14.8,-43.4,-39.1,-9.2,8.36,-18.2,-67.4,3.61,0.647
2500-842,2500,6/29/2020,-7.35,-32.9,-34.1,5.36,8.3,-21.5,-67.9,10.9,13.5
3400-843,3400,6/29/2020,-3.39,-28.6,-31.7,8.69,13.3,-11.7,-54.3,18,22.5
3600-844,3600,6/29/2020,-8.4,-34,-48.4,-1.29,7.69,-15.2,-60.8,10.3,12.4
4400-845,4400,6/29/2020,-18.6,-38.3,-53.8,-15.1,2.13,2.34,-20,5.81,9.04
900-846,900,6/30/2020,-13.8,-44.8,-39.4,-8.24,8.76,-20.2,-68.6,4.16,1.26
2500-847,2500,6/30/2020,-6.62,-32.8,-32.5,4.12,8.2,-15,-68.8,10.3,12.4
3400-848,3400,6/30/2020,-2.38,-29.3,-30.9,9.04,13.6,-12.7,-55.8,18.8,23.7
3600-849,3600,6/30/2020,-7.28,-34.6,-47.9,-0.434,9.14,-13.7,-60.9,10.8,12.1
4400-850,4400,6/30/2020,-12.3,-38.7,-49.8,-11.5,0.457,0.109,-34.3,8.34,15.7
900-851,900,7/1/2020,-12.9,-44,-43.1,-10.6,8.64,-12.5,-66.6,4.1,1.2
2500-852,2500,7/1/2020,-7.47,-32.9,-35.1,5.23,8.25,-12.4,-68.1,10.8,13.4
3400-853,3400,7/1/2020,-3.03,-30,-39.8,8.55,13.2,-12.9,-55.1,18.3,23.1
3600-854,3600,7/1/2020,-6.83,-34.7,-50.3,-1.22,10,-15.7,-59.1,10.9,11.6
4400-855,4400,7/1/2020,-11.5,-39,-49.5,-13.7,3.15,-2.12,-27.5,5.97,8.67
900-856,900,7/2/2020,-11.1,-43.7,-43.4,-8.5,10,-14.1,-62.7,6.08,3.46
2500-857,2500,7/2/2020,-5.05,-31.3,-34.8,8.52,9.92,-6.87,-66.3,13.8,17.9
3400-858,3400,7/2/2020,-2.63,-29.9,-40.6,8.2,13.9,-11.8,-54.6,18.5,22.9
3600-859,3600,7/2/2020,-5.39,-33.9,-50.9,0.134,11.2,-13.6,-58.2,12.1,12.8
4400-860,4400,7/2/2020,-8.04,-38.5,-49.6,-10.9,0.332,-4.34,-32,6.06,11.6
900-861,900,7/3/2020,-11.5,-43.6,-44.5,-8.65,7.5,-19.7,-60.7,5.08,3.28
2500-862,2500,7/3/2020,-6.77,-33.6,-34.9,7.51,6.32,-7.3,-62.2,10.4,15
3400-863,3400,7/3/2020,-3.7,-32.4,-40.5,7.18,12,-16.1,-53.2,17.5,23
3600-864,3600,7/3/2020,-5.8,-34.9,-52.4,-0.922,10.7,-17.1,-58.2,11.7,12.6
4400-865,4400,7/3/2020,0.186,-42.9,-62.3,-8.2,-6.95,-6.57,-20.8,5.89,18.9
900-866,900,7/4/2020,-8.66,-44,-48,-12.1,8.04,-2.7,-63.1,4.6,2.13
2500-867,2500,7/4/2020,-4.09,-34.1,-37.7,5.49,5.54,7,-65.1,10.3,15.6
3400-868,3400,7/4/2020,-1.96,-32.5,-41.7,5,9.21,2.11,-56,14.2,19.2
3600-869,3600,7/4/2020,-4.06,-36.8,-51,-1.38,7.1,1.37,-58.4,9.6,11.9
4400-870,4400,7/4/2020,-5.07,-39.3,-69.2,-12.3,-3.91,-8.8,-12.7,4.94,13.6
900-871,900,7/5/2020,-8.88,-42.2,-43.9,-9.91,7.79,-9.16,-59.8,3.67,0.878
2500-872,2500,7/5/2020,-2.94,-31.6,-33.1,8,9.33,8.47,-64.5,13.1,17.4
3400-873,3400,7/5/2020,-2.16,-31.3,-40.2,5.35,10.7,-5.61,-55.7,15.5,20.3
3600-874,3600,7/5/2020,-3.83,-35,-51.1,-1.19,9.06,-3.6,-57.8,11,12.9
4400-875,4400,7/5/2020,-1.01,-38.2,-64.2,-11.1,-1.19,-11,-8.43,7.21,15.8
900-876,900,7/6/2020,-8.52,-41.8,-41.4,-6.07,13.3,-11.6,-64,9.83,7.41
2500-877,2500,7/6/2020,-2.13,-30,-30.4,11.4,11.4,-2.35,-62.4,16.2,21.4
3400-878,3400,7/6/2020,-1.46,-31,-40.2,8.73,13.5,-8.28,-56.3,19.2,24.6
3600-879,3600,7/6/2020,-3.77,-34,-51.1,0.0658,12.9,-6.95,-57.8,13.3,13.8
4400-880,4400,7/6/2020,-2.36,-40,-68,-4.86,-5.59,-4.57,-31.4,5.66,16.8
900-881,900,7/7/2020,-7.87,-40.2,-37.6,-6.32,13,-10.7,-63.8,8.97,6.21
2500-882,2500,7/7/2020,-2.59,-28.5,-32.2,13,11.6,-4.7,-61.8,16.7,22.2
3400-883,3400,7/7/2020,-2.12,-30.5,-40.7,8.51,13,-6.96,-55.2,18.5,23.9
3600-884,3600,7/7/2020,-4.21,-33.4,-51.7,0.725,13.1,-7.87,-56.8,14.3,15.4
4400-885,4400,7/7/2020,-6.16,-40.1,-41.5,-8.07,-2.63,1.89,-27.6,4.58,11.6
900-886,900,7/8/2020,-8.55,-40.8,-32.1,-5.69,12.7,-19.2,-66.4,8.87,6.23
2500-887,2500,7/8/2020,-3.01,-28.1,-29.4,13.1,11.7,-9.85,-64.3,16.6,22
3400-888,3400,7/8/2020,-2.3,-29.1,-32.5,8.22,12.4,-6.77,-56,17.9,23.3
3600-889,3600,7/8/2020,-4.79,-33.1,-47.2,0.984,12.8,-8.99,-59.9,14.2,15.5
4400-890,4400,7/8/2020,-6.26,-36.1,-31,-2.87,-3.96,8.35,-30.9,4.49,12.8
900-891,900,7/9/2020,-8.61,-40,-31.8,-5.22,13.7,-14.3,-70.2,9.64,6.97
2500-892,2500,7/9/2020,-4.21,-29,-31.7,13.1,10.5,-16.3,-63.2,15.6,20.9
3400-893,3400,7/9/2020,-2.76,-28.4,-29,8.95,10.8,-6.15,-55.7,16.9,22.8
3600-894,3600,7/9/2020,-5.21,-33,-46.9,0.267,11.9,-6.35,-61.9,13.5,15
4400-895,4400,7/9/2020,-8.82,-35.9,-24.3,-1.65,-3.44,14.8,-40.6,3.8,10.8
900-896,900,7/10/2020,-8.27,-40.2,-38,-2.95,15.9,-12,-68.6,11.2,8.2
2500-897,2500,7/10/2020,-4.82,-29.3,-33.8,14.2,10.9,-13.7,-62,15.8,20.9
3400-898,3400,7/10/2020,-4.07,-30.1,-29.6,8,7.22,-7.12,-54.2,14.2,21
3600-899,3600,7/10/2020,-5.4,-32,-48.3,-0.0016,12,-8.67,-63.1,12.4,12.8
4400-900,4400,7/10/2020,0.532,-36.7,-6.31,7.31,-2.98,21.3,-54,5.93,14.5
900-901,900,7/11/2020,-7.71,-38.8,-42.1,-1.86,19.7,-14.3,-69.1,15,11.9
2500-902,2500,7/11/2020,-4.23,-28.9,-35.8,13.8,12.7,-18.2,-63.7,18,23.6
3400-903,3400,7/11/2020,-3.55,-29.8,-29.5,10.1,8.91,-8.02,-56.5,16.2,23.3
3600-904,3600,7/11/2020,-5.29,-31.1,-49.2,1.58,12.5,-11.7,-64.1,13.6,14.5
4400-905,4400,7/11/2020,-0.987,-37.9,-2.66,7.34,-0.447,27.7,-55,6.88,13.8
900-906,900,7/12/2020,-6.51,-38.3,-42.7,-0.291,20.7,-17.5,-68.4,16.3,13.4
2500-907,2500,7/12/2020,-3.5,-27,-31.4,12.9,14.2,-19.2,-65.4,19.7,25.5
3400-908,3400,7/12/2020,-3.56,-28.8,-28.1,10.1,8.03,-10.3,-57.6,15.8,23.3
3600-909,3600,7/12/2020,-4.71,-29.8,-49.9,2.57,13.6,-13,-64.5,15,16.1
4400-910,4400,7/12/2020,1.63,-33.5,5.46,6.07,2.69,34.2,-64.2,7.8,12.5
900-911,900,7/13/2020,-6.69,-39.4,-46.2,-0.976,17.9,-15.8,-68.8,14.9,12.7
2500-912,2500,7/13/2020,-5.04,-28,-31.2,14.5,11.9,-16.6,-66.2,18.8,26.1
3400-913,3400,7/13/2020,-3.52,-29.1,-29.2,10.8,7.69,-10.7,-58.1,15.4,23
3600-914,3600,7/13/2020,-5.21,-29.9,-50.1,3.92,12.8,-14.8,-64.7,14.5,15.9
4400-915,4400,7/13/2020,3.12,-32.5,24.9,10,10.6,28.5,-62.2,14,17.5
900-916,900,7/14/2020,-6.27,-38.9,-50.9,-2.53,17.4,-11.2,-70.7,14.2,11.8
2500-917,2500,7/14/2020,-4.67,-28.2,-31.1,14,12.3,-15.2,-67.2,18.4,25
3400-918,3400,7/14/2020,-3.35,-29,-29.6,9.42,7.57,-11.6,-60.2,15.1,22.4
3600-919,3600,7/14/2020,-5.61,-29.7,-50,2.89,12,-14.8,-66.9,13.4,14.6
4400-920,4400,7/14/2020,0.812,-32.1,-3,6.11,5.54,22.8,-67.6,9.84,14.5
900-921,900,7/15/2020,-5.5,-38.2,-50.3,0.633,19.8,-12.6,-69.8,15.9,13.2
2500-922,2500,7/15/2020,-2.96,-27.5,-30,13.3,13.6,-10.2,-67.5,18.6,23.8
3400-923,3400,7/15/2020,-2.26,-29.1,-30.3,9.04,8.38,-12.1,-60.8,15.7,22.8
3600-924,3600,7/15/2020,-5.36,-29.6,-49.5,3.77,11.7,-14.7,-66.5,13.5,15
4400-925,4400,7/15/2020,1.1,-32.6,-15.8,-4.3,9,17.1,-63.1,8.6,8.91
900-926,900,7/16/2020,-5.63,-38.2,-47.9,0.391,20.7,-10.7,-69.6,14.9,11
2500-927,2500,7/16/2020,-2.77,-26.4,-28.7,14.1,14.6,-4.62,-69.6,19.2,23.9
3400-928,3400,7/16/2020,-1.79,-29.1,-32.3,8.62,8.32,-12.1,-61.1,16,23.6
3600-929,3600,7/16/2020,-4.88,-29.2,-49.5,4.26,11.9,-16.8,-65.5,13.7,15.1
4400-930,4400,7/16/2020,-0.0797,-31.6,-22.5,-3.38,17.9,11.5,-60.8,14.1,11.3
900-931,900,7/17/2020,-5.24,-37.2,-40,0.0659,21.1,-8.8,-69.4,15.7,12.2
2500-932,2500,7/17/2020,-1.51,-24.3,-26.3,13.9,17.2,-3.31,-69.8,20.4,23.7
3400-933,3400,7/17/2020,-0.353,-27.3,-32.7,10.5,12,-10.4,-62.3,19.4,26.5
3600-934,3600,7/17/2020,-3.77,-28.4,-49.9,5.74,13.1,-17.6,-65.2,16.1,18.6
4400-935,4400,7/17/2020,-0.15,-29.5,-29.3,-6.58,21,5.79,-58.6,17.1,14.5
900-936,900,7/18/2020,-5.26,-36.9,-36.3,-1.29,21.7,-8.72,-68.7,14.5,9.84
2500-937,2500,7/18/2020,-1.89,-23.4,-25.3,11.4,17.2,-5.12,-70.9,18.7,20.2
3400-938,3400,7/18/2020,-1.2,-26.6,-32.8,7.13,11.3,-10.3,-60.7,16.9,22.3
3600-939,3600,7/18/2020,-4.48,-28.4,-49.4,3.71,12.5,-14.7,-65.2,14.7,16.5
4400-940,4400,7/18/2020,-1.33,-25.6,-34.4,-8.76,22.2,0.11,-58.2,16.2,11.9
900-941,900,7/19/2020,-5.97,-35.4,-34.2,-0.901,23,-7.76,-69.4,14.7,9.29
2500-942,2500,7/19/2020,-2.02,-22.5,-26.3,12.1,17.8,-5.34,-71,17.9,18
3400-943,3400,7/19/2020,-1.1,-26.3,-33.6,6.66,11.8,-9.68,-60,16.3,20.8
3600-944,3600,7/19/2020,-4.74,-28.7,-48.2,3.71,12.2,-12.2,-64.2,14.1,15.8
4400-945,4400,7/19/2020,-0.93,-25,-46.1,-9.69,25.4,-5.57,-50.1,16.8,10.3
900-946,900,7/20/2020,-5.81,-34.3,-29.3,-0.349,22.9,-6.47,-69.8,14.9,9.82
2500-947,2500,7/20/2020,-1.23,-20.9,-32.3,11.5,19.4,-6.69,-71.3,18.5,17.5
3400-948,3400,7/20/2020,-1.22,-26.4,-33.2,6.28,11.3,-7.17,-58.8,15.9,20.3
3600-949,3600,7/20/2020,-4.73,-28.6,-48.3,4.1,12.4,-11.6,-64.2,14.7,16.7
4400-950,4400,7/20/2020,-1.85,-25.3,-47.4,-7.63,22.2,17,-46.4,14.3,8.04
900-951,900,7/21/2020,-6.51,-34,-26.5,0.306,25.6,-10.7,-64.6,16,9.89
2500-952,2500,7/21/2020,-1.41,-20.9,-31.1,13,20.3,-6.99,-72.5,20.1,19.9
3400-953,3400,7/21/2020,-1.78,-25.9,-32.9,6.85,11.5,-6.5,-58.4,15.9,20.2
3600-954,3600,7/21/2020,-4.76,-28.1,-48.2,5.45,12.8,-10.9,-64.1,15.4,17.6
4400-955,4400,7/21/2020,-1.8,-22.9,-57.2,-5.22,26.7,39.5,-41.5,17.5,9.89
900-956,900,7/22/2020,-6.02,-33.7,-22.6,1.56,25.6,-6,-64,16.3,10.5
2500-957,2500,7/22/2020,-1.51,-20.3,-31.6,14.7,19.4,-1.29,-72.6,20.5,21.7
3400-958,3400,7/22/2020,-2.27,-26.7,-30.9,8.44,11.8,-1.61,-58.6,16.8,21.6
3600-959,3600,7/22/2020,-4.38,-27.9,-49.1,6.06,13,-8.97,-63.2,15.5,17.6
4400-960,4400,7/22/2020,-1.19,-24.2,-34.3,1.94,22.9,62,-47.9,17,12.3
900-961,900,7/23/2020,-5.53,-33.7,-25.5,2.59,24.7,-6,-66.2,18.1,13.8
2500-962,2500,7/23/2020,-0.846,-20.5,-33,14.1,20.1,-0.554,-73,21.3,22.6
3400-963,3400,7/23/2020,-2.12,-26.9,-28.9,9.06,13,-0.949,-59,17.1,21.1
3600-964,3600,7/23/2020,-4.68,-28.2,-53.9,6.91,13.6,-8.89,-63.3,16,18.2
4400-965,4400,7/23/2020,-2.85,-22,-39.8,-6.19,17.1,84.6,-64.2,10.9,5.5
900-966,900,7/24/2020,-5.23,-32.9,-27,4.23,23.9,-2.16,-67.6,17.5,13.3
2500-967,2500,7/24/2020,-0.494,-21.3,-29.5,16.1,18.2,1,-70.1,20.8,23.6
3400-968,3400,7/24/2020,-2,-26.8,-26.5,9.12,12.8,-1.91,-58.4,17.1,21.3
3600-969,3600,7/24/2020,-4.8,-28.1,-51.9,6.41,13.5,-7.4,-63.6,15.8,17.9
4400-970,4400,7/24/2020,-1.23,-24,-43.4,1.14,15.5,107,-53.8,11.5,8.03
900-971,900,7/25/2020,-5.3,-32.2,-32,5.54,24.1,-5.36,-69,17.8,13.6
2500-972,2500,7/25/2020,0.0927,-21.1,-30.9,18.5,18.4,5.76,-67.8,21.5,24.8
3400-973,3400,7/25/2020,-2.06,-26.7,-26.6,9.81,12.3,-2.77,-59.1,17.1,21.7
3600-974,3600,7/25/2020,-4.31,-28.7,-52.9,7.53,13.9,-7.34,-63.6,16.6,18.9
4400-975,4400,7/25/2020,-3.73,-34,-47.9,-0.97,11.7,130,-62.4,10.9,10.6
900-976,900,7/26/2020,-5.38,-33.8,-35.4,5.2,23,-5.92,-68.9,17.5,13.7
2500-977,2500,7/26/2020,0.951,-21.4,-28.7,20.1,20.1,10.5,-68.3,24.6,29.5
3400-978,3400,7/26/2020,-1.84,-27,-27.3,11.2,12.9,-5.27,-59.4,18.2,23.3
3600-979,3600,7/26/2020,-4.13,-28.4,-51.9,8.36,14,-10.2,-64.4,17,19.6
4400-980,4400,7/26/2020,-5.87,-36.6,-36.9,-0.524,6.73,152,-65.2,7.13,7.64
900-981,900,7/27/2020,-4.27,-32.9,-38.8,6.61,23.2,3.22,-66.1,17.9,14.3
2500-982,2500,7/27/2020,0.876,-22,-26.8,21.7,21.4,13.4,-69.7,25.2,29.6
3400-983,3400,7/27/2020,-2.24,-26.4,-26.8,10.8,13.2,-7.36,-59.9,17.9,22.5
3600-984,3600,7/27/2020,-4.05,-28.1,-53.1,7.58,13.8,-9.28,-64.2,16.9,19.6
4400-985,4400,7/27/2020,-9.05,-38,-36.3,-7.11,4.65,127,-61.6,4.26,4
900-986,900,7/28/2020,-4.3,-32.7,-41.2,8.06,21.3,2.71,-70,18.6,16.6
2500-987,2500,7/28/2020,0.676,-21.1,-31,18.5,21.1,11.1,-68.3,24,27.4
3400-988,3400,7/28/2020,-2.47,-27,-29,10.4,12.8,-7.52,-60.1,17.5,22.1
3600-989,3600,7/28/2020,-4.14,-28.7,-54,6.85,13.6,-10.2,-64.1,16.3,18.7
4400-990,4400,7/28/2020,-10.8,-35.9,-40.9,-9.58,4.84,101,-69.1,1.28,-2.31
900-991,900,7/29/2020,-4.94,-32.4,-43.3,5.71,21.5,1.96,-71.6,19.2,17.5
2500-992,2500,7/29/2020,0.461,-21.3,-29.3,16.5,21.7,3.68,-68.3,23.3,25.2
3400-993,3400,7/29/2020,-2.66,-26.5,-29,9.18,11.9,-10.8,-59.9,16.1,20.2
3600-994,3600,7/29/2020,-4.09,-28.4,-54,5.8,13.4,-9.72,-64.5,16.4,19.1
4400-995,4400,7/29/2020,-11.7,-37.3,-56.1,-9.84,6.25,75.9,-70.6,3.77,1.36
900-996,900,7/30/2020,-5.26,-32.1,-43.1,6.23,21.5,-0.0062,-67.7,18.1,15.6
2500-997,2500,7/30/2020,0.263,-20.5,-28.4,16.4,21.5,0.0902,-68.6,22.7,24
3400-998,3400,7/30/2020,-3.68,-26.1,-28.9,7.96,11,-12,-58.9,15.3,19.5
3600-999,3600,7/30/2020,-4.34,-28.1,-49.5,4.92,12.5,-7.51,-64.2,15.9,19
4400-1000,4400,7/30/2020,-7.92,-37.3,-49.9,-3.86,6.75,50.5,-56.7,3.43,0.379
900-1001,900,7/31/2020,-4.53,-31.1,-45.1,5.03,21,-4.37,-66.4,18.3,16.3
2500-1002,2500,7/31/2020,-0.384,-19.9,-31.5,13.3,22.1,-3.49,-71.6,22.3,22.6
3400-1003,3400,7/31/2020,-3.62,-26.1,-26.9,8.37,11.6,-10.3,-59.6,15.6,19.4
3600-1004,3600,7/31/2020,-3.68,-27.5,-49.5,5.89,13,-5.93,-63.7,16,18.6
4400-1005,4400,7/31/2020,-9.65,-36.7,-55.6,-10.9,4.27,25,-53.4,1.79,-0.359
900-1006,900,8/1/2020,-5.44,-30.7,-43.3,2.96,19.6,-2.89,-64.6,16.8,14.9
2500-1007,2500,8/1/2020,-1.76,-20.7,-33.2,12.7,21.2,-5.88,-71.3,21.5,21.7
3400-1008,3400,8/1/2020,-5.08,-25,-36.6,6.88,10.7,-10.6,-59.8,14.2,17.7
3600-1009,3600,8/1/2020,-4.88,-26.2,-53,5.46,12.7,-8.74,-62.2,15.4,17.9
4400-1010,4400,8/1/2020,-6.53,-26.3,-52.6,-10.9,6.01,-0.406,-47.4,-0.256,-6.07
900-1011,900,8/2/2020,-5.97,-29.8,-45,1.99,19.7,-1.35,-60.9,16.7,14.6
2500-1012,2500,8/2/2020,-2.53,-21.9,-34.3,12.2,21.2,-7.74,-70.2,20.6,19.9
3400-1013,3400,8/2/2020,-5.36,-24.6,-36.5,6.51,10.9,-7.79,-59.3,14.2,17.3
3600-1014,3600,8/2/2020,-5.26,-25.9,-54.2,5.34,13.4,-7.28,-61.7,15.6,17.4
4400-1015,4400,8/2/2020,-8.79,-28.3,-54.6,-11.1,9.66,-25.8,-39.5,4.77,0.396
900-1016,900,8/3/2020,-5.14,-29.4,-42.5,1.54,21.5,-9.57,-61.6,16.6,13.3
2500-1017,2500,8/3/2020,-1.97,-22.5,-33.9,10,20.3,-8.05,-65.8,19.2,18.1
3400-1018,3400,8/3/2020,-4.21,-25.4,-36.1,6.46,12.7,-4.01,-57.4,15,17.3
3600-1019,3600,8/3/2020,-3.94,-25.8,-53.5,5.52,14.2,-4.4,-59.2,15.8,17.2
4400-1020,4400,8/3/2020,-7.97,-29.2,-53.7,-8.88,11.1,-24.7,-45.3,5.39,0.118
900-1021,900,8/4/2020,-6.14,-30.2,-43.2,-1.78,19.7,-10.8,-62.4,14.4,10.8
2500-1022,2500,8/4/2020,-1.49,-23.8,-31.7,11.1,19.9,-5.77,-65.1,18.8,17.7
3400-1023,3400,8/4/2020,-6.24,-26.6,-34.9,2.48,8.48,-9.18,-57.3,10.9,13.4
3600-1024,3600,8/4/2020,-4.68,-26.4,-54.2,4.25,12.6,-6.55,-58.4,14.1,15.4
4400-1025,4400,8/4/2020,-6.59,-31.4,-55,-5.05,10.1,-23.6,-42.4,9.84,9.87
900-1026,900,8/5/2020,-9.53,-31.6,-44.2,-7.1,14.6,-21.3,-62.1,8.41,4.29
2500-1027,2500,8/5/2020,-1.88,-24.9,-33.3,12.1,19.7,-3.27,-63,19.1,18.5
3400-1028,3400,8/5/2020,-6.9,-26.5,-37,1.16,7.73,-10.2,-57.1,10.3,12.9
3600-1029,3600,8/5/2020,-5.03,-26.1,-54.1,2.74,11.9,-7.34,-58.7,12.9,13.8
4400-1030,4400,8/5/2020,-7.68,-31.5,-59.4,-6.58,9.08,-22.4,-47.2,8.64,8.26
900-1031,900,8/6/2020,-10.1,-31.7,-43.7,-10.5,13.3,-27.2,-65.9,6.66,2.25
2500-1032,2500,8/6/2020,-1.08,-25.8,-30.5,13.9,20,-1.28,-58.8,19.8,19.6
3400-1033,3400,8/6/2020,-5.95,-26.1,-39.1,1.83,8.23,-10.5,-56.9,11.2,14.2
3600-1034,3600,8/6/2020,-4.92,-25.5,-53.5,2.81,12.5,-11.4,-59.7,13.1,13.6
4400-1035,4400,8/6/2020,-10.1,-34.4,-63.1,-9.14,8.63,-21.3,-52.5,11.4,14.2
900-1036,900,8/7/2020,-12.5,-32.4,-43.3,-10.6,13.2,-33.6,-69,5.15,-0.111
2500-1037,2500,8/7/2020,-0.997,-26.3,-27.7,13.4,20.6,4.88,-55.8,20.4,20.1
3400-1038,3400,8/7/2020,-5.26,-26.4,-40,3.05,8.8,-11.8,-55.5,11.9,15
3600-1039,3600,8/7/2020,-5.57,-25.5,-55.4,1.53,11.6,-12.3,-60.3,12.4,13.2
4400-1040,4400,8/7/2020,-8.52,-35.2,-58.9,-3.8,10.4,-20.1,-59,14.9,19.1
900-1041,900,8/8/2020,-12.1,-32.3,-43.7,-9.16,13.9,-38.7,-70.2,6.58,1.7
2500-1042,2500,8/8/2020,-0.131,-24.9,-22,15.1,21.6,1.13,-56.4,21.5,21.4
3400-1043,3400,8/8/2020,-2.84,-26.5,-31.6,5.65,10.2,-9.77,-54.1,14.6,18.9
3600-1044,3600,8/8/2020,-4.19,-25.1,-51,2.16,12.6,-9.71,-61.4,13.1,13.5
4400-1045,4400,8/8/2020,-8.03,-37.4,-64.9,-3.4,10.4,-19,-62.3,20.5,30.8
900-1046,900,8/9/2020,-11.4,-30.8,-39.9,-7.81,15.5,-38.6,-74,7.22,1.69
2500-1047,2500,8/9/2020,0.342,-23.3,-21.9,14.7,20.5,6.99,-56.4,19.5,18.4
3400-1048,3400,8/9/2020,-1.73,-26.3,-30,6.48,10.2,-8.28,-54.4,15.1,19.8
3600-1049,3600,8/9/2020,-3.33,-24.3,-49.6,1.49,13,-9.96,-61.6,13.2,13.4
4400-1050,4400,8/9/2020,-4.59,-36.7,-66,-1.24,11.4,-17.8,-72.2,17.9,23.8
900-1051,900,8/10/2020,-12.8,-31,-40.3,-8.06,15,-40.5,-74.6,7.54,2.47
2500-1052,2500,8/10/2020,-0.256,-23.6,-23,15.4,20.6,4.1,-58.8,19.3,18.1
3400-1053,3400,8/10/2020,-2.93,-25.8,-30.9,6.03,8.23,-11.9,-57,14.1,19.7
3600-1054,3600,8/10/2020,-4.22,-24.4,-49.5,0.802,12.3,-11.9,-64.1,12.8,13.2
4400-1055,4400,8/10/2020,-4.74,-35,-63.4,-1.6,10.5,-22.1,-59,20.2,29.4
900-1056,900,8/11/2020,-11.8,-28.6,-39.5,-5.13,19,-40.6,-73.9,9.89,3.82
2500-1057,2500,8/11/2020,-1.05,-22.7,-24.4,15.3,20.6,4.25,-60.3,18.1,15.8
3400-1058,3400,8/11/2020,-0.254,-24.3,-31.5,10.3,12.1,-5.85,-55.1,18.6,24.8
3600-1059,3600,8/11/2020,-3.22,-23.3,-48.3,1.63,13.6,-7.66,-63.9,14.1,14.4
4400-1060,4400,8/11/2020,-5.21,-36.7,-57.3,-3.2,9.2,-26.4,-62.2,16.6,23.4
900-1061,900,8/12/2020,-8.54,-27.3,-38.7,-1.37,26.4,-31,-74.4,14.6,6.94
2500-1062,2500,8/12/2020,-0.736,-21.5,-23.6,13.3,21.6,-1.17,-61.2,17.3,13.4
3400-1063,3400,8/12/2020,0.428,-24.7,-28.3,11,12.8,-7.32,-55.5,18.8,24.6
3600-1064,3600,8/12/2020,-2.39,-23.1,-47,2.93,14.9,-8.46,-63.5,15,15.1
4400-1065,4400,8/12/2020,-4.89,-35.8,-52.2,-6.91,7.68,-30.7,-60.6,5.84,4.14
900-1066,900,8/13/2020,-7.78,-27.4,-38.2,-0.879,28.8,-26.6,-73.2,15.5,7.05
2500-1067,2500,8/13/2020,-2.07,-21.1,-25.6,10.5,20.1,-1.84,-65,14.8,10.1
3400-1068,3400,8/13/2020,0.0973,-25.4,-26.6,10.1,12.2,-7.24,-54.5,17.6,22.8
3600-1069,3600,8/13/2020,-1.84,-23.6,-48,2.92,13.4,-7.72,-62.4,15,16.4
4400-1070,4400,8/13/2020,-2.36,-35.4,-47.6,-4.92,10.2,-35,-71.2,6.98,4.09
900-1071,900,8/14/2020,-5.7,-27,-36.9,-1.43,30.9,-22.7,-70.9,16.8,7.85
2500-1072,2500,8/14/2020,-3.31,-20.6,-31.4,10.9,18,-7.25,-68.9,12,6.84
3400-1073,3400,8/14/2020,-0.787,-24.5,-27.3,7.12,11.1,-8.67,-54.1,15.9,20.5
